,forecast,lower,upper
2026-12-23,428.6774568186038,270.1662692256923,587.1886444115153
2026-12-24,428.8100352475858,269.6760115123602,587.9440589828114
2026-12-25,428.94261367656776,269.1881820378445,588.697045315291
2026-12-28,429.0751921055498,268.7027526208938,589.4476315902057
2026-12-29,429.2077705345318,268.21969562117744,590.1958454478861
2026-12-30,429.34034896351375,267.73898392486086,590.9417140021667
2026-12-31,429.47292739249576,267.26059093067147,591.68526385432
2027-01-01,429.6055058214777,266.78449053643465,592.4265211065208
2027-01-04,429.73808425045974,266.3106571260618,593.1655113748577
2027-01-05,429.87066267944175,265.83906555697104,593.9022598019125
2027-01-06,430.0032411084237,265.36969114792294,594.6367910689245
2027-01-07,430.1358195374057,264.90250966725625,595.3691294075552
2027-01-08,430.26839796638774,264.4374973215049,596.0992986112706
2027-01-11,430.4009763953697,263.9746307443846,596.8273220463548
2027-01-12,430.5335548243517,263.51388698613187,597.5532226625716
2027-01-13,430.66613325333367,263.05524350318217,598.2770230034852
2027-01-14,430.7987116823157,262.5986781481763,598.9987452164551
2027-01-15,430.9312901112977,262.14416916027915,599.7184110623162
2027-01-18,431.06386854027966,261.69169515580097,600.4360419247583
2027-01-19,431.1964469692617,261.24123511910966,601.1516588194137
2027-01-20,431.3290253982437,260.7927683938219,601.8652824026655
2027-01-21,431.46160382722564,260.3462746742641,602.5769329801872
2027-01-22,431.59418225620766,259.90173399719276,603.2866305152226
2027-01-25,431.7267606851896,259.4591267337631,603.9943946366161
2027-01-26,431.85933911417163,259.0184335817404,604.7002446466029
2027-01-27,431.99191754315365,258.57963555794083,605.4041995283665
2027-01-28,432.1244959721356,258.1427139908974,606.1062779533738
2027-01-29,432.2570744011176,257.7076505137405,606.8064982884948
2027-02-01,432.38965283009964,257.27442705728623,607.5048786029131
2027-02-02,432.5222312590816,256.8430258433251,608.2014366748381
2027-02-03,432.6548096880636,256.4134293781043,608.8961899980229
2027-02-04,432.78738811704557,255.98562044599578,609.5891557880954
2027-02-05,432.9199665460276,255.5595821033454,610.2803509887098
2027-02-08,433.0525449750096,255.13529767249491,610.9697922775242
2027-02-09,433.18512340399155,254.71275073597238,611.6574960720108
2027-02-10,433.31770183297357,254.2919251308448,612.3434785351023
2027-02-11,433.4502802619556,253.87280494322684,613.0277555806844
2027-02-12,433.58285869093754,253.45537450294145,613.7103428789336
2027-02-15,433.71543711991956,253.03961837832668,614.3912558615125
2027-02-16,433.8480155489015,252.6255213711834,615.0705097266197
2027-02-17,433.98059397788353,252.2130685118608,615.7481194439063
2027-02-18,434.11317240686554,251.80224505447293,616.4240997592582
2027-02-19,434.2457508358475,251.3930364722441,617.0984651994509
2027-02-22,434.3783292648295,250.9854284529778,617.7712300766813
2027-02-23,434.51090769381153,250.5794068946449,618.4424084929782
2027-02-24,434.6434861227935,250.17495790108848,619.1120143444984
2027-02-25,434.7760645517755,249.77206777784053,619.7800613257104
2027-02-26,434.90864298075746,249.37072302804728,620.4465629334677
2027-03-01,435.0412214097395,248.97091034849996,621.111532470979
2027-03-02,435.1737998387215,248.57261662576704,621.7749830516759
2027-03-03,435.30637826770345,248.17582893242593,622.436927602981
2027-03-04,435.43895669668547,247.78053452338975,623.0973788699812
2027-03-05,435.5715351256675,247.386720832327,623.756349419008
2027-03-08,435.70411355464944,246.99437546817126,624.4138516411276
2027-03-09,435.83669198363145,246.60348621171798,625.069897755545
2027-03-10,435.9692704126134,246.21404101230547,625.7244998129213
2027-03-11,436.1018488415954,245.8260279845784,626.3776696986124
2027-03-12,436.23442727057744,245.4394354053301,627.0294191358248
2027-03-15,436.3670056995594,245.05425171042268,627.6797596886961
2027-03-16,436.4995841285414,244.67046549178156,628.3287027653013
2027-03-17,436.63216255752343,244.2880654944624,628.9762596205844
2027-03-18,436.7647409865054,243.90704061378912,629.6224413592216
2027-03-19,436.8973194154874,243.52737989256013,630.2672589384147
2027-03-22,437.02989784446936,243.14907251832037,630.9107231706183
2027-03-23,437.1624762734514,242.77210782069892,631.5528447262038
2027-03-24,437.2950547024334,242.39647526880847,632.1936341360583
2027-03-25,437.42763313141535,242.02216446870582,632.8331017941249
2027-03-26,437.56021156039736,241.649165160912,633.4712579598827
2027-03-29,437.6927899893794,241.277467217989,634.1081127607697
2027-03-30,437.82536841836134,240.90706064217306,634.7436761945496
2027-03-31,437.95794684734335,240.53793556306204,635.3779581316246
2027-04-01,438.0905252763253,240.17008223535515,636.0109683172955
2027-04-02,438.2231037053073,239.8034910366448,636.6427163739698
2027-04-05,438.35568213428934,239.43815246525736,637.2732118033214
2027-04-06,438.4882605632713,239.07405713814322,637.9024639883994
2027-04-07,438.6208389922533,238.71119578881374,638.5304821956929
2027-04-08,438.7534174212353,238.3495592653239,639.1572755771467
2027-04-09,438.8859958502173,237.98913852829995,639.7828531721347
2027-04-12,439.0185742791993,237.62992464901043,640.4072239093882
2027-04-13,439.15115270818126,237.2719088074793,641.0303966088832
2027-04-14,439.2837311371633,236.9150822906404,641.6523799836862
2027-04-15,439.4163095661453,236.55943649053214,642.2731826417585
2027-04-16,439.54888799512725,236.20496290253058,642.8928130877239
2027-04-19,439.68146642410926,235.85165312362145,643.5112797245971
2027-04-20,439.8140448530913,235.49949885070828,644.1285908554743
2027-04-21,439.94662328207323,235.14849187895712,644.7447546851894
2027-04-22,440.07920171105525,234.7986241001761,645.3597793219344
2027-04-23,440.2117801400372,234.44988750122926,645.9736727788452
2027-04-26,440.3443585690192,234.1022741624838,646.5864429755546
2027-04-27,440.47693699800124,233.7557762562895,647.1980977397129
2027-04-28,440.6095154269832,233.41038604548996,647.8086448084764
2027-04-29,440.7420938559652,233.06609588196503,648.4180918299654
2027-04-30,440.8746722849472,232.7228982052025,649.026446364692
2027-05-03,441.0072507139292,232.3807855408998,649.6337158869585
2027-05-04,441.1398291429112,232.03975049959413,650.2399077862283
2027-05-05,441.27240757189315,231.6997857753199,650.8450293684664
2027-05-06,441.40498600087517,231.36088414429437,651.449087857456
2027-05-07,441.5375644298572,231.0230384636288,652.0520903960855
2027-05-10,441.67014285883914,230.68624167006598,652.6540440476123
2027-05-11,441.80272128782116,230.3504867787431,653.2549557968993
2027-05-12,441.9352997168032,230.0157668819786,653.8548325516277
2027-05-13,442.06787814578513,229.6820751480837,654.4536811434866
2027-05-14,442.20045657476714,229.34940482019724,655.051508329337
